year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,analysis_period,source_validation_caution,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag
2020,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,24.98,22.3,5.57,3.0,2.5,5.570539999999999,0.0005399999999990968,False,12.00960768614892,10.0080064051241,False
2021,Broadcom,AVGO,USA,country,False,fabless_diversified,Smart automobile expansion,False,28.35,30.5,8.65,3.4,2.83,8.64675,0.003249999999999531,False,11.992945326278658,9.982363315696649,False
2022,Broadcom,AVGO,USA,country,False,fabless_diversified,Transition Year,False,33.5,28.9,9.68,4.02,3.35,9.6815,0.0015000000000000568,False,11.999999999999998,10.0,False
2023,Broadcom,AVGO,USA,country,False,fabless_diversified,AI expansion,False,33.96,31.0,10.52,4.08,3.4,10.5276,0.007600000000000051,False,12.014134275618375,10.01177856301531,False
2024,Broadcom,AVGO,USA,country,False,fabless_diversified,AI expansion,False,54.34,25.4,13.8,6.52,5.43,13.80236,0.0023599999999994736,False,11.99852778800147,9.99263894000736,False
2025,Broadcom,AVGO,USA,country,False,fabless_diversified,AI expansion,True,62.4,29.0,18.1,7.49,6.24,18.096,0.004000000000001336,False,12.003205128205128,10.0,False
2026,Broadcom,AVGO,USA,country,False,fabless_diversified,AI expansion,True,69.87,26.8,18.75,8.38,6.99,18.725160000000002,0.02483999999999753,True,11.993702590525261,10.00429368827823,False
2010,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,3.56,33.9,1.21,0.43,0.36,1.20684,0.0031600000000000517,False,12.078651685393258,10.112359550561797,False
2011,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,4.23,35.2,1.49,0.51,0.42,1.48896,0.0010399999999999299,False,12.056737588652481,9.929078014184396,False
2012,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,4.89,31.3,1.53,0.59,0.49,1.53057,0.0005699999999999594,False,12.065439672801636,10.020449897750511,False
2013,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,5.56,31.3,1.74,0.67,0.56,1.7402799999999998,0.00027999999999983594,False,12.050359712230216,10.071942446043167,False
2014,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,5.99,29.1,1.74,0.72,0.6,1.7430900000000003,0.003090000000000259,False,12.020033388981636,10.016694490818029,False
2015,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,6.41,27.9,1.79,0.77,0.64,1.78839,0.0016100000000001113,False,12.012480499219969,9.98439937597504,False
2016,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,7.0,26.5,1.85,0.84,0.7,1.855,0.004999999999999893,False,12.0,10.0,False
2017,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,7.37,29.4,2.17,0.88,0.74,2.16678,0.0032199999999997786,False,11.940298507462686,10.040705563093622,False
2018,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,7.87,32.3,2.54,0.94,0.79,2.54201,0.0020099999999998452,False,11.944091486658195,10.038119440914867,False
2019,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,9.77,32.2,3.14,1.17,0.98,3.14594,0.005939999999999834,False,11.975435005117706,10.030706243602866,False
2020,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,10.4,29.8,3.1,1.25,1.04,3.0992,0.0007999999999999119,False,12.019230769230768,10.0,False
2021,MediaTek,2454,TWN,country,False,fabless_mobile,Smart automobile expansion,False,14.24,28.4,4.05,1.71,1.42,4.04416,0.005840000000000067,False,12.008426966292134,9.97191011235955,False
2022,MediaTek,2454,TWN,country,False,fabless_mobile,Transition Year,False,19.46,31.9,6.21,2.34,1.95,6.20774,0.0022599999999997067,False,12.024665981500512,10.020554984583761,False
2023,MediaTek,2454,TWN,country,False,fabless_mobile,AI expansion,False,13.32,17.0,2.26,1.6,1.33,2.2644,0.004400000000000404,False,12.012012012012011,9.984984984984985,False
2024,MediaTek,2454,TWN,country,False,fabless_mobile,AI expansion,False,17.02,26.4,4.48,2.04,1.7,4.4932799999999995,0.01327999999999907,False,11.985898942420683,9.9882491186839,False
2025,MediaTek,2454,TWN,country,False,fabless_mobile,AI expansion,True,18.62,30.9,5.76,2.23,1.86,5.75358,0.006419999999999426,False,11.976369495166487,9.989258861439312,False
2026,MediaTek,2454,TWN,country,False,fabless_mobile,AI expansion,True,21.74,31.8,6.92,2.61,2.17,6.91332,0.006680000000000241,False,12.005519779208832,9.981600735970561,False
2010,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,3.36,25.9,0.87,0.4,0.34,0.8702399999999999,0.00023999999999990695,False,11.904761904761905,10.11904761904762,False
2011,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,3.43,26.2,0.9,0.41,0.34,0.89866,0.0013400000000000079,False,11.953352769679299,9.912536443148689,False
2012,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,3.4,18.8,0.64,0.41,0.34,0.6392,0.0008000000000000229,False,12.058823529411764,10.0,False
2013,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,3.01,26.8,0.8,0.36,0.3,0.80668,0.006679999999999908,False,11.960132890365449,9.966777408637874,False
2014,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.75,29.4,0.81,0.33,0.27,0.8085,0.0015000000000000568,False,12.000000000000002,9.818181818181818,False
2015,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.73,27.5,0.75,0.33,0.27,0.75075,0.0007500000000000284,False,12.087912087912088,9.89010989010989,False
2016,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.56,27.4,0.7,0.31,0.26,0.70144,0.0014399999999999968,False,12.109375,10.15625,False
2017,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.58,25.7,0.66,0.31,0.26,0.66306,0.0030599999999999516,False,12.015503875968992,10.077519379844961,False
2018,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.42,25.8,0.62,0.29,0.24,0.62436,0.0043600000000000305,False,11.983471074380164,9.917355371900827,False
2019,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.63,24.6,0.65,0.32,0.26,0.6469800000000001,0.0030199999999999116,False,12.167300380228138,9.885931558935363,False
2020,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,2.99,26.2,0.78,0.36,0.3,0.7833800000000001,0.0033800000000000496,False,12.040133779264213,10.03344481605351,False
2021,Marvell,MRVL,USA,country,False,fabless_networking,Smart automobile expansion,False,4.59,21.8,1.0,0.55,0.46,1.00062,0.0006200000000000649,False,11.982570806100219,10.02178649237473,False
2022,Marvell,MRVL,USA,country,False,fabless_networking,Transition Year,False,5.88,29.4,1.73,0.71,0.59,1.7287199999999998,0.0012800000000001699,False,12.074829931972788,10.034013605442176,False
2023,Marvell,MRVL,USA,country,False,fabless_networking,AI expansion,False,5.38,22.5,1.21,0.65,0.54,1.2105,0.0004999999999999449,False,12.0817843866171,10.037174721189592,False
2024,Marvell,MRVL,USA,country,False,fabless_networking,AI expansion,False,5.84,27.5,1.61,0.7,0.58,1.6059999999999999,0.004000000000000226,False,11.986301369863012,9.931506849315069,False
2025,Marvell,MRVL,USA,country,False,fabless_networking,AI expansion,True,7.15,29.0,2.07,0.86,0.72,2.0735,0.0035000000000002807,False,12.027972027972027,10.06993006993007,False
2026,Marvell,MRVL,USA,country,False,fabless_networking,AI expansion,True,8.72,27.5,2.4,1.05,0.87,2.398,0.0019999999999997797,False,12.041284403669724,9.977064220183486,False
2010,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,44.33,27.0,11.96,8.87,11.08,11.9691,0.009099999999998332,False,20.009023234829684,24.99436047823145,False
2011,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,45.66,14.0,6.39,9.13,11.41,6.3924,0.002400000000000624,False,19.995619798510734,24.98904949627683,False
2012,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,50.66,18.6,9.44,10.13,12.67,9.42276,0.017239999999999256,False,19.99605211212002,25.009869719699964,False
2013,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,50.78,23.9,12.15,10.16,12.7,12.136420000000001,0.01357999999999926,False,20.007877116975187,25.009846396218983,False
2014,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,50.47,16.2,8.2,10.09,12.62,8.176139999999998,0.02386000000000088,True,19.992074499702795,25.00495343768575,False
2015,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,52.71,17.6,9.29,10.54,13.18,9.27696,0.013039999999998386,False,19.99620565357617,25.00474293302978,False
2016,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,61.27,21.6,13.22,12.25,15.32,13.234320000000002,0.014320000000001443,False,19.99347151950383,25.0040803003101,False
2017,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,66.18,15.8,10.43,13.24,16.54,10.456440000000002,0.026440000000002684,True,20.006044122091264,24.992444847385915,False
2018,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,66.06,20.2,13.32,13.21,16.51,13.34412,0.02411999999999992,True,19.996972449288524,24.992431123221316,False
2019,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,73.31,21.4,15.67,14.66,18.33,15.688339999999998,0.01833999999999847,False,19.997271859227936,25.003410175965072,False
2020,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,79.56,20.4,16.24,15.91,19.89,16.23024,0.009759999999999991,False,19.997486173956762,25.0,False
2021,Intel,INTC,USA,country,False,idm_cpu,Smart automobile expansion,False,72.13,20.7,14.92,14.43,18.03,14.930909999999999,0.010909999999999087,False,20.00554554277,24.996534035768754,False
2022,Intel,INTC,USA,country,False,idm_cpu,Transition Year,False,64.11,7.9,5.06,12.82,16.03,5.06469,0.004690000000000083,False,19.996880361878024,25.003899547652473,False
2023,Intel,INTC,USA,country,False,idm_cpu,AI expansion,False,53.91,10.6,5.71,10.78,13.48,5.714459999999999,0.00445999999999902,False,19.99629011315155,25.004637358560565,False
2024,Intel,INTC,USA,country,False,idm_cpu,AI expansion,False,54.42,8.8,4.8,10.88,13.61,4.78896,0.011039999999999495,False,19.99264976111724,25.009187798603456,False
2025,Intel,INTC,USA,country,False,idm_cpu,AI expansion,True,57.44,9.2,5.29,11.49,14.36,5.284479999999999,0.0055200000000006355,False,20.00348189415042,25.0,False
2026,Intel,INTC,USA,country,False,idm_cpu,AI expansion,True,59.79,12.5,7.47,11.96,14.95,7.47375,0.003750000000000142,False,20.003345040976754,25.00418130122094,False
2010,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,31.08,16.1,5.0,3.11,10.88,5.0038800000000005,0.0038800000000005497,False,10.006435006435007,35.00643500643501,False
2011,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,32.71,7.9,2.57,3.27,11.45,2.5840899999999998,0.014089999999999936,False,9.99694283093855,35.004585753592174,False
2012,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,34.69,13.6,4.72,3.47,12.14,4.717839999999999,0.002160000000000828,False,10.002882675122516,34.99567598731623,False
2013,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,36.29,10.6,3.85,3.63,12.7,3.8467399999999996,0.0032600000000004847,False,10.0027555800496,34.9958666299256,False
2014,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,39.06,15.0,5.86,3.91,13.67,5.859000000000001,0.0009999999999994458,False,10.010240655401946,34.99743983614951,False
2015,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,38.92,18.3,7.12,3.89,13.62,7.122360000000001,0.00236000000000125,False,9.99486125385406,34.994861253854054,False
2016,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,52.14,16.6,8.68,5.21,18.25,8.655240000000001,0.024759999999998783,True,9.992328346758725,35.001917913310315,False
2017,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,63.85,20.6,13.13,6.39,22.35,13.153100000000002,0.02310000000000123,True,10.007830853563037,35.003915426781525,False
2018,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,75.95,29.8,22.61,7.59,26.58,22.6331,0.023099999999999454,True,9.993416721527321,34.996708360763655,False
2019,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,74.27,40.9,30.39,7.43,25.99,30.376429999999996,0.013570000000004967,False,10.004039316009155,34.99394102598627,False
2020,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,64.28,40.2,25.81,6.43,22.5,25.84056,0.030560000000001253,True,10.003111387678903,35.003111387678906,False
2021,Samsung Memory,5930,KOR,country,False,idm_memory,Smart automobile expansion,False,69.3,41.4,28.7,6.93,24.26,28.6902,0.009799999999998477,False,10.0,35.00721500721501,False
2022,Samsung Memory,5930,KOR,country,False,idm_memory,Transition Year,False,75.7,33.1,25.09,7.57,26.5,25.0567,0.03330000000000055,True,10.0,35.006605019815055,False
2023,Samsung Memory,5930,KOR,country,False,idm_memory,AI expansion,False,50.38,23.3,11.75,5.04,17.63,11.73854,0.011459999999999582,False,10.00396982929734,34.99404525605399,False
2024,Samsung Memory,5930,KOR,country,False,idm_memory,AI expansion,False,74.79,26.8,20.06,7.48,26.18,20.043720000000004,0.016279999999994743,False,10.001337077149351,35.004679770022726,False
2025,Samsung Memory,5930,KOR,country,False,idm_memory,AI expansion,True,83.84,25.4,21.3,8.38,29.34,21.295360000000002,0.004639999999998423,False,9.995229007633588,34.99522900763359,False
2026,Samsung Memory,5930,KOR,country,False,idm_memory,AI expansion,True,94.46,19.3,18.28,9.45,33.06,18.23078,0.04922000000000182,True,10.004234596654667,34.99894135083634,False
2010,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,10.61,23.9,2.54,1.06,3.72,2.53579,0.004210000000000047,False,9.990574929311972,35.0612629594722,False
2011,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,11.58,10.4,1.21,1.16,4.05,1.20432,0.005679999999999907,False,10.017271157167528,34.9740932642487,False
2012,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,13.32,10.4,1.38,1.33,4.66,1.3852800000000003,0.0052800000000003955,False,9.984984984984985,34.98498498498498,False
2013,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,14.58,11.2,1.63,1.46,5.1,1.63296,0.0029600000000000737,False,10.013717421124827,34.97942386831275,False
2014,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,15.24,12.1,1.84,1.52,5.33,1.84404,0.0040399999999998215,False,9.973753280839896,34.9737532808399,False
2015,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,17.49,20.5,3.58,1.75,6.12,3.58545,0.005449999999999733,False,10.005717552887365,34.99142367066896,False
2016,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,22.88,19.6,4.49,2.29,8.01,4.4844800000000005,0.005519999999999747,False,10.008741258741258,35.00874125874126,False
2017,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,30.12,22.5,6.77,3.01,10.54,6.777,0.007000000000000561,False,9.9933598937583,34.993359893758296,False
2018,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,35.86,30.8,11.03,3.59,12.55,11.044880000000001,0.014880000000001559,False,10.011154489682097,34.99721137757948,False
2019,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,32.3,33.3,10.74,3.23,11.31,10.755899999999999,0.01589999999999847,False,10.0,35.015479876160995,False
2020,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,27.17,32.8,8.9,2.72,9.51,8.91176,0.011759999999998882,False,10.01104158998896,35.00184026499816,False
2021,SK Hynix,660,KOR,country,False,idm_memory,Smart automobile expansion,False,30.7,38.6,11.86,3.07,10.75,11.8502,0.009800000000000253,False,10.0,35.01628664495114,False
2022,SK Hynix,660,KOR,country,False,idm_memory,Transition Year,False,34.69,44.5,15.42,3.47,12.14,15.43705,0.017049999999999343,False,10.002882675122516,34.99567598731623,False
2023,SK Hynix,660,KOR,country,False,idm_memory,AI expansion,False,25.33,22.2,5.63,2.53,8.86,5.623259999999999,0.006740000000000634,False,9.988156336360047,34.978286616660085,False
2024,SK Hynix,660,KOR,country,False,idm_memory,AI expansion,False,51.53,28.8,14.84,5.15,18.04,14.84064,0.0006400000000006401,False,9.99417814865127,35.00873277702309,False
2025,SK Hynix,660,KOR,country,False,idm_memory,AI expansion,True,59.99,24.7,14.8,6.0,21.0,14.81753,0.017529999999998935,False,10.001666944490747,35.00583430571762,False
2026,SK Hynix,660,KOR,country,False,idm_memory,AI expansion,True,71.31,17.3,12.37,7.13,24.96,12.33663,0.03336999999999968,True,9.998597672135745,35.00210349179638,False
2010,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,8.78,16.5,1.45,0.88,3.07,1.4486999999999997,0.001300000000000301,False,10.022779043280183,34.96583143507973,False
2011,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,10.04,22.7,2.28,1.0,3.51,2.27908,0.0009199999999998099,False,9.9601593625498,34.9601593625498,False
2012,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,11.66,15.7,1.83,1.17,4.08,1.83062,0.0006199999999998429,False,10.034305317324185,34.99142367066895,False
2013,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,13.16,11.7,1.55,1.32,4.6,1.5397199999999998,0.010280000000000289,False,10.030395136778116,34.954407294832826,False
2014,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,14.64,10.5,1.54,1.46,5.12,1.5372,0.0028000000000001357,False,9.972677595628415,34.97267759562842,False
2015,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,15.83,15.5,2.46,1.58,5.54,2.45365,0.006349999999999856,False,9.98104864181933,34.99684144030322,False
2016,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,20.41,21.2,4.32,2.04,7.14,4.32692,0.006920000000000037,False,9.995100440960314,34.98285154336109,False
2017,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,26.52,26.1,6.92,2.65,9.28,6.9217200000000005,0.00172000000000061,False,9.992458521870287,34.99245852187028,False
2018,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,30.14,32.2,9.71,3.01,10.55,9.705080000000002,0.004919999999998481,False,9.986728599867286,35.00331785003318,False
2019,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,25.66,38.6,9.9,2.57,8.98,9.90476,0.004759999999999209,False,10.015588464536243,34.996102883865944,False
2020,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,20.26,38.0,7.69,2.03,7.09,7.698800000000001,0.008800000000000807,False,10.019743336623888,34.99506416584403,False
2021,Micron,MU,USA,country,False,idm_memory,Smart automobile expansion,False,24.59,35.5,8.73,2.46,8.61,8.72945,0.0005500000000004945,False,10.00406669377796,35.01423342822285,False
2022,Micron,MU,USA,country,False,idm_memory,Transition Year,False,32.09,41.3,13.26,3.21,11.23,13.25317,0.0068299999999990035,False,10.00311623558741,34.99532564661888,False
2023,Micron,MU,USA,country,False,idm_memory,AI expansion,False,15.17,20.6,3.13,1.52,5.31,3.12502,0.004979999999999762,False,10.01977587343441,35.00329597890573,False
2024,Micron,MU,USA,country,False,idm_memory,AI expansion,False,22.96,28.4,6.52,2.3,8.04,6.520639999999999,0.0006399999999997519,False,10.017421602787454,35.01742160278745,False
2025,Micron,MU,USA,country,False,idm_memory,AI expansion,True,33.93,25.4,8.63,3.39,11.87,8.618219999999999,0.011780000000001678,False,9.991158267020337,34.983790156203945,False
2026,Micron,MU,USA,country,False,idm_memory,AI expansion,True,37.37,19.8,7.38,3.74,13.08,7.399259999999999,0.019259999999999167,False,10.00802782981001,35.001337971635,False
2010,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,13.26,44.1,5.85,1.59,1.59,5.847659999999999,0.002340000000000231,False,11.990950226244344,11.990950226244344,False
2011,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,13.76,44.7,6.16,1.65,1.65,6.15072,0.009280000000000399,False,11.99127906976744,11.99127906976744,False
2012,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,13.87,46.0,6.38,1.66,1.66,6.380199999999999,0.00019999999999953388,False,11.968276856524875,11.968276856524875,False
2013,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,13.63,42.9,5.85,1.64,1.64,5.84727,0.002729999999999677,False,12.032281731474686,12.032281731474686,False
2014,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,13.54,49.9,6.75,1.62,1.62,6.75646,0.006459999999999688,False,11.964549483013295,11.964549483013295,False
2015,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,12.63,42.3,5.35,1.52,1.52,5.342490000000001,0.0075099999999990175,False,12.034837688044338,12.034837688044338,False
2016,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,14.5,44.4,6.44,1.74,1.74,6.438,0.002000000000000668,False,12.0,12.0,False
2017,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,15.51,43.7,6.77,1.86,1.86,6.77787,0.007870000000000488,False,11.992263056092845,11.992263056092845,False
2018,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,16.5,45.4,7.49,1.98,1.98,7.4910000000000005,0.001000000000000334,False,12.0,12.0,False
2019,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,15.27,49.7,7.59,1.83,1.83,7.589189999999999,0.0008100000000004215,False,11.984282907662083,11.984282907662083,False
2020,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,14.34,42.2,6.05,1.72,1.72,6.051480000000001,0.001480000000000814,False,11.994421199442119,11.994421199442119,False
2021,Texas Instruments,TXN,USA,country,False,idm_analog,Smart automobile expansion,False,17.02,46.4,7.89,2.04,2.04,7.897279999999999,0.007279999999999731,False,11.985898942420683,11.985898942420683,False
2022,Texas Instruments,TXN,USA,country,False,idm_analog,Transition Year,False,19.08,46.9,8.95,2.29,2.29,8.948519999999998,0.001480000000000814,False,12.002096436058702,12.002096436058702,False
2023,Texas Instruments,TXN,USA,country,False,idm_analog,AI expansion,False,17.22,48.4,8.34,2.07,2.07,8.33448,0.0055200000000006355,False,12.020905923344948,12.020905923344948,False
2024,Texas Instruments,TXN,USA,country,False,idm_analog,AI expansion,False,14.89,42.6,6.35,1.79,1.79,6.343140000000001,0.006859999999998756,False,12.021490933512425,12.021490933512425,False
2025,Texas Instruments,TXN,USA,country,False,idm_analog,AI expansion,True,16.64,42.5,7.07,2.0,2.0,7.072,0.0019999999999997797,False,12.019230769230768,12.019230769230768,False
2026,Texas Instruments,TXN,USA,country,False,idm_analog,AI expansion,True,19.14,44.5,8.51,2.3,2.3,8.5173,0.00730000000000075,False,12.016718913270637,12.016718913270637,False
2010,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,2.88,44.5,1.28,0.35,0.35,1.2816,0.0016000000000000458,False,12.152777777777777,12.152777777777777,False
2011,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,3.02,42.0,1.27,0.36,0.36,1.2684,0.0016000000000000458,False,11.920529801324504,11.920529801324504,False
2012,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,3.17,47.0,1.49,0.38,0.38,1.4899,9.999999999998899e-05,False,11.987381703470032,11.987381703470032,False
2013,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,3.24,46.7,1.51,0.39,0.39,1.5130800000000002,0.0030800000000001937,False,12.037037037037036,12.037037037037036,False
2014,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,3.33,51.1,1.7,0.4,0.4,1.7016300000000002,0.0016300000000002424,False,12.012012012012011,12.012012012012011,False
2015,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,3.39,44.1,1.49,0.41,0.41,1.4949900000000003,0.004990000000000272,False,12.094395280235986,12.094395280235986,False
2016,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,4.24,41.9,1.78,0.51,0.51,1.7765600000000001,0.0034399999999998876,False,12.028301886792454,12.028301886792454,False
2017,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,5.07,42.3,2.15,0.61,0.61,2.1446099999999997,0.005390000000000228,False,12.031558185404338,12.031558185404338,False
2018,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,6.19,46.0,2.85,0.74,0.74,2.8474,0.0026000000000001577,False,11.954765751211632,11.954765751211632,False
2019,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,5.91,42.7,2.52,0.71,0.71,2.5235700000000003,0.003570000000000295,False,12.013536379018612,12.013536379018612,False
2020,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,5.75,47.2,2.72,0.69,0.69,2.7140000000000004,0.005999999999999783,False,12.0,12.0,False
2021,Analog Devices,ADI,USA,country,False,idm_analog,Smart automobile expansion,False,8.76,43.0,3.77,1.05,1.05,3.7668,0.0032000000000000917,False,11.986301369863014,11.986301369863014,False
2022,Analog Devices,ADI,USA,country,False,idm_analog,Transition Year,False,12.2,45.6,5.56,1.46,1.46,5.563199999999999,0.0031999999999996476,False,11.967213114754099,11.967213114754099,False
2023,Analog Devices,ADI,USA,country,False,idm_analog,AI expansion,False,11.78,44.8,5.28,1.41,1.41,5.2774399999999995,0.002560000000000784,False,11.96943972835314,11.96943972835314,False
2024,Analog Devices,ADI,USA,country,False,idm_analog,AI expansion,False,9.47,42.3,4.01,1.14,1.14,4.00581,0.004189999999999472,False,12.038014783526926,12.038014783526926,False
2025,Analog Devices,ADI,USA,country,False,idm_analog,AI expansion,True,11.01,40.6,4.48,1.32,1.32,4.47006,0.009940000000000282,False,11.989100817438693,11.989100817438693,False
2026,Analog Devices,ADI,USA,country,False,idm_analog,AI expansion,True,13.01,48.7,6.34,1.56,1.56,6.33587,0.004129999999999967,False,11.990776325903152,11.990776325903152,False
2010,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,4.57,21.1,0.96,0.55,0.68,0.9642700000000001,0.004270000000000107,False,12.035010940919037,14.87964989059081,False
2011,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,4.54,16.5,0.75,0.54,0.68,0.7491,0.0009000000000000119,False,11.894273127753305,14.977973568281937,False
2012,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,5.11,16.8,0.86,0.61,0.77,0.8584800000000001,0.0015199999999998548,False,11.937377690802348,15.068493150684931,False
2013,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,5.56,26.0,1.44,0.67,0.83,1.4456,0.005600000000000049,False,12.050359712230216,14.928057553956837,False
2014,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,5.52,17.5,0.97,0.66,0.83,0.966,0.0040000000000000036,False,11.956521739130437,15.03623188405797,False
2015,Infineon,IFX,DEU,country,False,idm_automotive,Smart automobile expansion,False,6.04,24.8,1.5,0.73,0.91,1.49792,0.002080000000000082,False,12.086092715231787,15.066225165562914,False
