year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available,recomputed_margin_pct,margin_difference_pp,extreme_flag
2017,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,7,5.74,38.9,2.23,0.46,2.58,2.23286,0.00286,False,8.013937282,44.94773519,False,2016.0,5.47,2.08,True,4.936014625,0.27,7.211538462,20.62780269,115.6950673,1.333798071,21,56.93,13.22876728,True,True,38.850174216027874,0.04982578397212478,False
2018,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,8,5.98,41.5,2.48,0.48,2.69,2.4817,0.0017,False,8.026755853,44.98327759,False,2017.0,5.74,2.23,True,4.181184669,0.24,11.21076233,19.35483871,108.4677419,1.255774885,23,61.88,12.99454011,True,True,41.47157190635451,0.028428093645487706,False
2019,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,9,5.47,40.0,2.19,0.44,2.46,2.188,0.002,False,8.043875686,44.9725777,False,2018.0,5.98,2.48,True,-8.528428094,-0.51,-11.69354839,20.0913242,112.3287671,1.104938895,24,69.02,13.94202606,True,True,40.03656307129799,-0.036563071297990746,False
2020,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,10,4.97,41.3,2.06,0.4,2.24,2.05261,0.00739,False,8.048289738,45.07042254,False,2019.0,5.47,2.19,True,-9.140767824,-0.5,-5.936073059,19.41747573,108.7378641,0.986718021,26,75.64,15.01717326,True,True,41.44869215291751,-0.14869215291751203,False
2021,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Smart automobile expansion,False,2010,11,6.63,39.7,2.63,0.53,2.98,2.63211,0.00211,False,7.993966817,44.94720965,False,2020.0,4.97,2.06,True,33.40040241,1.66,27.66990291,20.15209125,113.3079848,1.099447789,27,101.05,16.7570436,True,True,39.66817496229261,0.03182503770739231,False
2022,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,Transition Year,False,2010,12,8.0,39.8,3.18,0.64,3.6,3.184,0.004,False,8.0,45.0,False,2021.0,6.63,2.63,True,20.66365008,1.37,20.91254753,20.12578616,113.2075472,1.147019184,25,119.96,17.19955266,True,True,39.75,0.04999999999999716,False
2023,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,AI expansion,False,2010,13,7.03,35.7,2.51,0.56,3.17,2.50971,0.00029,False,7.965860597,45.09246088,False,2022.0,8.0,3.18,True,-12.125,-0.97,-21.06918239,22.31075697,126.2948207,1.07434859,25,105.72,16.15649117,True,True,35.70412517780938,-0.0041251778093780445,False
2024,GlobalFoundries,GFS,USA,country,False,foundry,Foundry,AI expansion,False,2010,14,6.54,37.0,2.42,0.52,2.94,2.4198,0.0002,False,7.951070336,44.95412844,False,2023.0,7.03,2.51,True,-6.970128023,-0.49,-3.585657371,21.48760331,121.4876033,0.789368867,28,131.07,15.81996596,True,True,37.00305810397553,-0.0030581039755332995,False
2021,Graphcore,GPHC,GBR,country,False,fabless_ai,Fabless,Smart automobile expansion,False,2019,2,0.07,12.6,0.01,0.03,0.0,0.00882,0.00118,False,42.85714286,0.0,False,2020.0,0.0,0.0,True,,0.07,,300.0,0.0,0.011608046,37,127.36,21.12001061,False,True,14.285714285714285,-1.685714285714285,False
2022,Graphcore,GPHC,GBR,country,False,fabless_ai,Fabless,Transition Year,False,2019,3,0.05,11.9,0.01,0.02,0.0,0.00595,0.00405,False,40.0,0.0,False,2021.0,0.07,0.01,True,-28.57142857,-0.02,0.0,200.0,0.0,0.00716887,36,154.83,22.19912253,True,True,20.0,-8.1,False
2023,Graphcore,GPHC,GBR,country,False,fabless_ai,Fabless,AI expansion,False,2019,4,0.05,5.9,0.0,0.02,0.0,0.00295,0.00295,False,40.0,0.0,False,2022.0,0.05,0.01,True,0.0,0.0,-100.0,,,0.007641171,37,177.4,27.11087339,True,False,0.0,5.9,False
2024,Graphcore,GPHC,GBR,country,False,fabless_ai,Fabless,AI expansion,False,2019,5,0.05,11.1,0.01,0.02,0.0,0.00555,0.00445,False,40.0,0.0,False,2023.0,0.05,0.0,True,0.0,0.0,,200.0,0.0,0.00603493,40,284.01,34.27961038,True,True,20.0,-8.9,False
2022,Groq,GROQ,USA,country,False,fabless_ai,Fabless,Transition Year,False,2020,2,0.02,7.2,0.0,0.01,0.0,0.00144,0.00144,False,50.0,0.0,False,2021.0,0.0,0.0,True,,0.02,,,,0.002867548,37,154.83,22.19912253,False,False,0.0,7.2,False
2023,Groq,GROQ,USA,country,False,fabless_ai,Fabless,AI expansion,False,2020,3,0.04,6.8,0.0,0.02,0.0,0.00272,0.00272,False,50.0,0.0,False,2022.0,0.02,0.0,True,100.0,0.02,,,,0.006112937,38,177.4,27.11087339,True,False,0.0,6.8,False
2024,Groq,GROQ,USA,country,False,fabless_ai,Fabless,AI expansion,False,2020,4,0.48,8.5,0.04,0.24,0.0,0.0408,0.0008,False,50.0,0.0,False,2023.0,0.04,0.0,True,1100.0,0.44,,600.0,0.0,0.05793533,37,284.01,34.27961038,True,True,8.333333333333334,0.16666666666666607,False
2015,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,5,3.92,29.8,1.17,0.47,0.39,1.16816,0.00184,False,11.98979592,9.948979592,False,2014.0,3.35,1.12,True,17.01492537,0.57,4.464285714,40.17094017,33.33333333,1.258346174,23,56.49,18.13366718,True,True,29.8469387755102,-0.04693877551019909,False
2016,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,6,5.0,31.4,1.57,0.6,0.5,1.57,0.0,False,12.0,10.0,False,2015.0,3.92,1.17,True,27.55102041,1.08,34.18803419,38.21656051,31.84713376,1.354022802,21,61.02,16.52449427,True,True,31.4,0.0,False
2017,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,7,6.61,29.8,1.97,0.79,0.66,1.96978,0.00022,False,11.9515885,9.984871407,False,2016.0,5.0,1.57,True,32.2,1.61,25.47770701,40.10152284,33.50253807,1.535959103,20,71.42,16.59579412,True,True,29.803328290468983,-0.003328290468981976,False
2018,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,8,7.46,26.7,1.99,0.89,0.75,1.99182,0.00182,False,11.93029491,10.0536193,False,2017.0,6.61,1.97,True,12.85930408,0.85,1.015228426,44.72361809,37.68844221,1.566568669,19,77.11,16.19277614,True,True,26.675603217158177,0.024396782841822784,False
2019,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,9,9.19,25.2,2.32,1.1,0.92,2.31588,0.00412,False,11.9695321,10.01088139,False,2018.0,7.46,1.99,True,23.19034853,1.73,16.58291457,47.4137931,39.65517241,1.856378144,17,88.03,17.78204222,True,True,25.244831338411316,-0.044831338411317034,False
2020,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,10,10.7,30.7,3.28,1.28,1.07,3.2849,0.0049,False,11.96261682,10.0,False,2019.0,9.19,2.32,True,16.43090316,1.51,41.37931034,39.02439024,32.62195122,2.1243225,14,99.9,19.83362783,True,True,30.654205607476637,0.04579439252336215,False
2021,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Smart automobile expansion,False,2010,11,6.76,38.4,2.6,0.81,0.68,2.59584,0.00416,False,11.98224852,10.0591716,False,2020.0,10.7,3.28,True,-36.82242991,-3.94,-20.73170732,31.15384615,26.15384615,1.121005588,26,127.36,21.12001061,True,True,38.46153846153847,-0.061538461538468425,False
2022,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,Transition Year,False,2010,12,1.97,34.3,0.67,0.24,0.2,0.67571,0.00571,False,12.18274112,10.15228426,False,2021.0,6.76,2.6,True,-70.85798817,-4.79,-74.23076923,35.82089552,29.85074627,0.282453474,34,154.83,22.19912253,True,True,34.01015228426396,0.2898477157360375,False
2023,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,AI expansion,False,2010,13,4.03,29.5,1.19,0.48,0.4,1.18885,0.00115,False,11.91066998,9.925558313,False,2022.0,1.97,0.67,True,104.5685279,2.06,77.6119403,40.33613445,33.61344538,0.615878353,33,177.4,27.11087339,True,True,29.528535980148877,-0.02853598014887737,False
2024,HiSilicon (Huawei),HUAWEI,CHN,country,False,fabless_diversified,Fabless,AI expansion,False,2010,14,9.12,30.2,2.75,1.09,0.91,2.75424,0.00424,False,11.95175439,9.978070175,False,2023.0,4.03,1.19,True,126.3027295,5.09,131.092437,39.63636364,33.09090909,1.100771264,23,284.01,34.27961038,True,True,30.153508771929825,0.04649122807017392,False
2015,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,5,0.7,40.1,0.28,0.06,0.32,0.2807,0.0007,False,8.571428571,45.71428571,False,2014.0,0.68,0.3,True,2.941176471,0.02,-6.666666667,21.42857143,114.2857143,0.224704674,33,46.3,14.86260914,True,True,40.00000000000001,0.09999999999999432,False
2016,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,6,0.76,40.0,0.31,0.06,0.34,0.304,0.006,False,7.894736842,44.73684211,False,2015.0,0.7,0.28,True,8.571428571,0.06,10.71428571,19.35483871,109.6774194,0.205811466,33,51.36,13.90852222,True,True,40.78947368421053,-0.7894736842105274,False
2017,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,7,0.88,33.0,0.29,0.07,0.39,0.2904,0.0004,False,7.954545455,44.31818182,False,2016.0,0.76,0.31,True,15.78947368,0.12,-6.451612903,24.13793103,134.4827586,0.204484722,33,56.93,13.22876728,True,True,32.95454545454545,0.045454545454546746,True
2018,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,8,0.85,38.4,0.33,0.07,0.38,0.3264,0.0036,False,8.235294118,44.70588235,False,2017.0,0.88,0.29,True,-3.409090909,-0.03,13.79310345,21.21212121,115.1515152,0.17849643,32,61.88,12.99454011,True,True,38.82352941176471,-0.4235294117647115,False
2019,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,9,0.93,42.1,0.39,0.07,0.42,0.39153,0.00153,False,7.52688172,45.16129032,False,2018.0,0.85,0.33,True,9.411764706,0.08,18.18181818,17.94871795,107.6923077,0.187859812,34,69.02,13.94202606,True,True,41.935483870967744,0.16451612903225765,False
2020,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,10,0.97,38.8,0.38,0.08,0.44,0.37636,0.00364,False,8.24742268,45.36082474,False,2019.0,0.93,0.39,True,4.301075269,0.04,-2.564102564,21.05263158,115.7894737,0.192578769,34,75.64,15.01717326,True,True,39.175257731958766,-0.37525773195876866,False
2021,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,11,1.78,43.1,0.77,0.14,0.8,0.76718,0.00282,False,7.865168539,44.94382022,False,2020.0,0.97,0.38,True,83.50515464,0.81,102.6315789,18.18181818,103.8961039,0.295176028,35,101.05,16.7570436,True,True,43.258426966292134,-0.15842696629213293,False
2022,Hua Hong,1347,CHN,country,False,foundry,Foundry,Transition Year,False,2010,12,2.51,42.9,1.08,0.2,1.13,1.07679,0.00321,False,7.96812749,45.01992032,False,2021.0,1.78,0.77,True,41.01123596,0.73,40.25974026,18.51851852,104.6296296,0.359877269,33,119.96,17.19955266,True,True,43.027888446215144,-0.12788844621514528,False
2023,Hua Hong,1347,CHN,country,False,foundry,Foundry,AI expansion,False,2010,13,2.32,38.3,0.89,0.19,1.04,0.88856,0.00144,False,8.189655172,44.82758621,False,2022.0,2.51,1.08,True,-7.569721116,-0.19,-17.59259259,21.34831461,116.8539326,0.354550317,34,105.72,16.15649117,True,True,38.362068965517246,-0.06206896551724839,False
2024,Hua Hong,1347,CHN,country,False,foundry,Foundry,AI expansion,False,2010,14,1.94,40.3,0.78,0.16,0.87,0.78182,0.00182,False,8.24742268,44.84536082,False,2023.0,2.32,0.89,True,-16.37931034,-0.38,-12.35955056,20.51282051,111.5384615,0.234155291,35,131.07,15.81996596,True,True,40.20618556701031,0.09381443298968861,False
2015,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,5,6.04,24.8,1.5,0.73,0.91,1.49792,0.00208,False,12.08609272,15.06622517,False,2014.0,5.52,0.97,True,9.420289855,0.52,54.63917526,48.66666667,60.66666667,1.938880329,15,172.79,55.46674371,True,True,24.834437086092713,-0.03443708609271212,False
2016,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,6,6.56,20.7,1.36,0.79,0.98,1.35792,0.00208,False,12.04268293,14.93902439,False,2015.0,6.04,1.5,True,8.609271523,0.52,-9.333333333,58.08823529,72.05882353,1.776477916,18,211.93,57.39161047,True,True,20.731707317073173,-0.03170731707317387,False
2017,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,7,8.03,15.0,1.21,0.96,1.2,1.2045,0.0055,False,11.95516812,14.94396015,False,2016.0,6.56,1.36,True,22.40853659,1.47,-11.02941176,79.33884298,99.17355372,1.865923086,16,247.23,57.44858836,True,True,15.068493150684933,-0.06849315068493311,False
2018,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,8,8.08,18.7,1.51,0.97,1.21,1.51096,0.00096,False,12.0049505,14.97524752,False,2017.0,8.03,1.21,True,0.622665006,0.05,24.79338843,64.2384106,80.13245033,1.696766065,17,274.37,57.61654767,True,True,18.68811881188119,0.011881188118810115,False
2019,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,9,8.57,22.4,1.92,1.03,1.28,1.91968,0.00032,False,12.01866978,14.93582264,False,2018.0,8.08,1.51,True,6.064356436,0.49,27.15231788,53.64583333,66.66666667,1.731138269,19,273.07,55.16008484,True,True,22.403733955659273,-0.0037339556592748124,False
2020,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,10,9.07,14.7,1.33,1.09,1.36,1.33329,0.00329,False,12.01764057,14.99448732,False,2019.0,8.57,1.92,True,5.834305718,0.5,-30.72916667,81.95488722,102.2556391,1.800710755,18,258.64,51.34904405,True,True,14.66372657111356,0.03627342888643881,False
2021,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Smart automobile expansion,False,2010,11,11.78,18.3,2.15,1.41,1.77,2.15574,0.00574,False,11.96943973,15.02546689,False,2020.0,9.07,1.33,True,29.87872106,2.71,61.65413534,65.58139535,82.3255814,1.953468318,18,285.1,47.2779132,True,True,18.251273344651953,0.0487266553480481,False
2022,Infineon,IFX,DEU,country,False,idm_automotive,IDM,Transition Year,False,2010,12,14.75,18.1,2.67,1.77,2.21,2.66975,0.00025,False,12.0,14.98305085,False,2021.0,11.78,2.15,True,25.21222411,2.97,24.18604651,66.29213483,82.77153558,2.11481662,18,317.07,45.46067158,True,True,18.10169491525424,-0.0016949152542373724,False
2023,Infineon,IFX,DEU,country,False,idm_automotive,IDM,AI expansion,False,2010,13,16.68,11.6,1.94,2.0,2.5,1.93488,0.00512,False,11.99040767,14.98800959,False,2022.0,14.75,2.67,True,13.08474576,1.93,-27.34082397,103.0927835,128.8659794,2.549094521,14,256.74,39.23588294,True,True,11.630695443645084,-0.030695443645084808,False
2024,Infineon,IFX,DEU,country,False,idm_automotive,IDM,AI expansion,False,2010,14,15.35,21.3,3.28,1.84,2.3,3.26955,0.01045,False,11.98697068,14.98371336,False,2023.0,16.68,1.94,True,-7.973621103,-1.33,69.07216495,56.09756098,70.12195122,1.852723564,14,301.22,36.35683335,True,True,21.368078175895768,-0.06807817589576715,False
2015,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,5,52.71,17.6,9.29,10.54,13.18,9.27696,0.01304,False,19.99620565,25.00474293,False,2014.0,50.47,8.2,True,4.438280166,2.24,13.29268293,113.4553283,141.8729817,16.92026194,1,172.79,55.46674371,True,True,17.62473913868336,-0.02473913868335842,False
2016,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,6,61.27,21.6,13.22,12.25,15.32,13.23432,0.01432,False,19.99347152,25.0040803,False,2015.0,52.71,9.29,True,16.23980269,8.56,42.30355221,92.66263238,115.8850227,16.59219541,1,211.93,57.39161047,True,True,21.57662803982373,0.02337196017627008,False
2017,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,7,66.18,15.8,10.43,13.24,16.54,10.45644,0.02644,True,20.00604412,24.99244485,False,2016.0,61.27,13.22,True,8.013709809,4.91,-21.10438729,126.9415149,158.5810163,15.37818055,1,247.23,57.44858836,True,True,15.760048352976726,0.03995164702327436,False
2018,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,8,66.06,20.2,13.32,13.21,16.51,13.34412,0.02412,True,19.99697245,24.99243112,False,2017.0,66.18,10.43,True,-0.181323663,-0.12,27.70853308,99.17417417,123.9489489,13.87232255,2,274.37,57.61654767,True,True,20.16348773841962,0.03651226158038057,False
2019,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,9,73.31,21.4,15.67,14.66,18.33,15.68834,0.01834,False,19.99727186,25.00341018,False,2018.0,66.06,13.32,True,10.97487133,7.25,17.64264264,93.55456286,116.9751117,14.80860519,2,273.07,55.16008484,True,True,21.374982949120174,0.025017050879824865,False
2020,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,10,79.56,20.4,16.24,15.91,19.89,16.23024,0.00976,False,19.99748617,25.0,False,2019.0,73.31,15.67,True,8.525439913,6.25,3.637523931,97.9679803,122.4753695,15.79542973,1,258.64,51.34904405,True,True,20.412267471091,-0.01226747109100046,False
2021,Intel,INTC,USA,country,False,idm_cpu,IDM,Smart automobile expansion,False,2010,11,72.13,20.7,14.92,14.43,18.03,14.93091,0.01091,False,20.00554554,24.99653404,False,2020.0,79.56,16.24,True,-9.338863751,-7.43,-8.128078818,96.71581769,120.844504,11.96126229,1,285.1,47.2779132,True,True,20.68487453209483,0.015125467905168222,False
2022,Intel,INTC,USA,country,False,idm_cpu,IDM,Transition Year,False,2010,12,64.11,7.9,5.06,12.82,16.03,5.06469,0.00469,False,19.99688036,25.00389955,False,2021.0,72.13,14.92,True,-11.11881325,-8.02,-66.08579088,253.3596838,316.798419,9.191924985,3,317.07,45.46067158,True,True,7.892684448603961,0.007315551396039233,False
2023,Intel,INTC,USA,country,False,idm_cpu,IDM,AI expansion,False,2010,13,53.91,10.6,5.71,10.78,13.48,5.71446,0.00446,False,19.99629011,25.00463736,False,2022.0,64.11,5.06,True,-15.91015442,-10.2,12.8458498,188.7915937,236.0770578,8.23871017,3,256.74,39.23588294,True,True,10.591726952327955,0.008273047672044953,False
2024,Intel,INTC,USA,country,False,idm_cpu,IDM,AI expansion,False,2010,14,54.42,8.8,4.8,10.88,13.61,4.78896,0.01104,False,19.99264976,25.0091878,False,2023.0,53.91,5.71,True,0.946021146,0.51,-15.93695271,226.6666667,283.5416667,6.568418003,4,301.22,36.35683335,True,True,8.820286659316427,-0.020286659316425926,False
2015,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,5,2.77,43.1,1.2,0.33,0.28,1.19387,0.00613,False,11.9133574,10.10830325,False,2014.0,2.57,1.03,True,7.782101167,0.2,16.50485437,27.5,23.33333333,0.889188495,26,31.93,10.24974319,True,True,43.32129963898917,-0.22129963898916571,False
2016,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,6,3.14,37.4,1.17,0.38,0.31,1.17436,0.00436,False,12.10191083,9.872611465,False,2015.0,2.77,1.2,True,13.35740072,0.37,-2.5,32.47863248,26.4957265,0.850326319,26,40.64,11.00549733,True,True,37.261146496815286,0.13885350318471268,False
2017,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,7,3.65,35.4,1.29,0.44,0.37,1.2921,0.0021,False,12.05479452,10.1369863,False,2016.0,3.14,1.17,True,16.24203822,0.51,10.25641026,34.10852713,28.68217054,0.848146857,26,50.03,11.62542117,True,True,35.342465753424655,0.05753424657534367,False
2018,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,8,4.05,40.3,1.63,0.49,0.4,1.63215,0.00215,False,12.09876543,9.87654321,False,2017.0,3.65,1.29,True,10.95890411,0.4,26.35658915,30.06134969,24.5398773,0.85048299,26,57.62,12.099958,True,True,40.24691358024691,0.053086419753086034,False
2019,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,9,4.88,44.8,2.18,0.59,0.49,2.18624,0.00624,False,12.09016393,10.04098361,False,2018.0,4.05,1.63,True,20.49382716,0.83,33.74233129,27.06422018,22.47706422,0.985759014,26,59.07,11.93212807,True,True,44.67213114754099,0.12786885245900947,False
2020,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,10,5.69,46.2,2.63,0.68,0.57,2.62878,0.00122,False,11.95079086,10.01757469,False,2019.0,4.88,2.18,True,16.59836066,0.81,20.64220183,25.85551331,21.6730038,1.129663086,23,63.11,12.52953205,True,True,46.22144112478031,-0.021441124780309906,False
2021,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Smart automobile expansion,False,2010,11,7.45,36.2,2.69,0.89,0.74,2.6969,0.0069,False,11.94630872,9.932885906,False,2020.0,5.69,2.63,True,30.9314587,1.76,2.281368821,33.08550186,27.50929368,1.235427756,23,81.85,13.5731224,True,True,36.10738255033557,0.09261744966443075,False
2022,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,Transition Year,False,2010,12,9.22,36.8,3.39,1.11,0.92,3.39296,0.00296,False,12.03904555,9.978308026,False,2021.0,7.45,2.69,True,23.75838926,1.77,26.02230483,32.74336283,27.13864307,1.321939609,23,97.26,13.94488573,True,True,36.76789587852494,0.03210412147505792,False
2023,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,AI expansion,False,2010,13,10.27,41.2,4.23,1.23,1.03,4.23124,0.00124,False,11.97663096,10.0292113,False,2022.0,9.22,3.39,True,11.38828633,1.05,24.77876106,29.07801418,24.3498818,1.569496447,22,104.75,16.00825246,True,True,41.18792599805259,0.012074001947411261,False
2024,KLA,KLAC,USA,country,False,equipment_inspection,Equipment,AI expansion,False,2010,14,9.96,38.1,3.8,1.2,1.0,3.79476,0.00524,False,12.04819277,10.04016064,False,2023.0,10.27,4.23,True,-3.018500487,-0.31,-10.16548463,31.57894737,26.31578947,1.202158091,20,101.83,12.2907388,True,True,38.15261044176707,-0.0526104417670652,False
2015,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,5,5.15,25.7,1.32,0.62,0.51,1.32355,0.00355,False,12.03883495,9.902912621,False,2014.0,4.49,1.44,True,14.69933185,0.66,-8.333333333,46.96969697,38.63636364,1.653184386,19,31.93,10.24974319,True,True,25.631067961165048,0.06893203883495147,False
2016,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,6,7.22,30.3,2.18,0.87,0.72,2.18766,0.00766,False,12.0498615,9.972299169,False,2015.0,5.15,1.32,True,40.19417476,2.07,65.15151515,39.90825688,33.02752294,1.955208926,15,40.64,11.00549733,True,True,30.19390581717452,0.10609418282547978,False
2017,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,7,8.98,32.5,2.92,1.08,0.9,2.9185,0.0015,False,12.02672606,10.02227171,False,2016.0,7.22,2.18,True,24.3767313,1.76,33.94495413,36.98630137,30.82191781,2.086673638,13,50.03,11.62542117,True,True,32.516703786191535,-0.016703786191534675,False
2018,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,8,10.66,28.8,3.07,1.28,1.07,3.07008,8e-05,False,12.00750469,10.03752345,False,2017.0,8.98,2.92,True,18.70824053,1.68,5.136986301,41.69381107,34.8534202,2.238555229,13,57.62,12.099958,True,True,28.799249530956843,0.0007504690431581196,False
2019,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,9,10.37,29.9,3.1,1.24,1.04,3.10063,0.00063,False,11.95756991,10.0289296,False,2018.0,10.66,3.07,True,-2.720450281,-0.29,0.977198697,40.0,33.5483871,2.094737905,15,59.07,11.93212807,True,True,29.89392478302797,0.006075216972028841,False
2020,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,10,10.08,27.0,2.72,1.21,1.01,2.7216,0.0016,False,12.00396825,10.01984127,False,2019.0,10.37,3.1,True,-2.796528447,-0.29,-12.25806452,44.48529412,37.13235294,2.001230916,16,63.11,12.52953205,True,True,26.984126984126988,0.015873015873012264,False
2021,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Smart automobile expansion,False,2010,11,13.9,30.2,4.2,1.67,1.39,4.1978,0.0022,False,12.01438849,10.0,False,2020.0,10.08,2.72,True,37.8968254,3.82,54.41176471,39.76190476,33.0952381,2.305026284,15,81.85,13.5731224,True,True,30.215827338129497,-0.015827338129497548,False
2022,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,Transition Year,False,2010,12,16.25,24.1,3.92,1.95,1.63,3.91625,0.00375,False,12.0,10.03076923,False,2021.0,13.9,4.2,True,16.90647482,2.35,-6.666666667,49.74489796,41.58163265,2.329882717,16,97.26,13.94488573,True,True,24.123076923076923,-0.02307692307692122,False
2023,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,AI expansion,False,2010,13,17.39,29.3,5.1,2.09,1.74,5.09527,0.00473,False,12.01840138,10.00575043,False,2022.0,16.25,3.92,True,7.015384615,1.14,30.10204082,40.98039216,34.11764706,2.657599144,12,104.75,16.00825246,True,True,29.32719953996549,-0.027199539965490516,False
2024,Lam Research,LRCX,USA,country,False,equipment_etch,Equipment,AI expansion,False,2010,14,14.85,29.9,4.44,1.78,1.49,4.44015,0.00015,False,11.98653199,10.03367003,False,2023.0,17.39,5.1,True,-14.60609546,-2.54,-12.94117647,40.09009009,33.55855856,1.792374262,16,101.83,12.2907388,True,True,29.898989898989903,0.0010101010100953545,False
2015,Marvell,MRVL,USA,country,False,fabless_networking,Fabless,Smart automobile expansion,False,2010,5,2.73,27.5,0.75,0.33,0.27,0.75075,0.00075,False,12.08791209,9.89010989,False,2014.0,2.75,0.81,True,-0.727272727,-0.02,-7.407407407,44.0,36.0,0.876348228,27,56.49,18.13366718,True,True,27.472527472527474,0.0274725274725256,False
